idx,Country,Points,Year,Discipline
386,POL,3.62,2018,Boulder
387,RUS,612.7,2018,Boulder
388,SGP,17.02,2018,Boulder
389,SLO,1425.55,2018,Boulder
390,SRB,222.92,2018,Boulder
391,SUI,169.88,2018,Boulder
392,SVK,0,2018,Boulder
393,SWE,1.44,2018,Boulder
394,THA,0.52,2018,Boulder
395,TPE,46.5,2018,Boulder
396,UKR,99.76,2018,Boulder
397,USA,578.07,2018,Boulder
398,ARG,19.02,2019,Boulder
399,AUS,64.16,2019,Boulder
400,AUT,645.91,2019,Boulder
401,BEL,70.08,2019,Boulder
402,CAN,250.7,2019,Boulder
403,CHI,0.62,2019,Boulder
404,CHN,210.5,2019,Boulder
405,CZE,336.31,2019,Boulder
406,DEN,0,2019,Boulder
407,ECU,0.52,2019,Boulder
408,ESP,8.32,2019,Boulder
409,FIN,0,2019,Boulder
410,FRA,836.1,2019,Boulder
411,GBR,347.64,2019,Boulder
412,GER,596.52,2019,Boulder
413,GUA,0,2019,Boulder
414,HKG,0.62,2019,Boulder
415,HUN,0.52,2019,Boulder
416,IND,0,2019,Boulder
417,IRI,79.62,2019,Boulder
418,IRL,0,2019,Boulder
419,ISR,74.34,2019,Boulder
420,ITA,162.52,2019,Boulder
421,JPN,2603.73,2019,Boulder
422,KAZ,0,2019,Boulder
423,KOR,367.56,2019,Boulder
424,LAT,0,2019,Boulder
425,LTU,1.31,2019,Boulder
426,MEX,0.52,2019,Boulder
427,NED,85.44,2019,Boulder
428,NEP,0,2019,Boulder
429,NOR,0,2019,Boulder
430,POL,0,2019,Boulder
431,RUS,407.18,2019,Boulder
432,SGP,0,2019,Boulder
433,SLO,1501.3,2019,Boulder
434,SRB,0,2019,Boulder
435,SUI,257.28,2019,Boulder
436,SVK,36.5,2019,Boulder
437,SWE,1.22,2019,Boulder
438,THA,0,2019,Boulder
439,TPE,17.22,2019,Boulder
440,UKR,161.22,2019,Boulder
441,USA,584.92,2019,Boulder
442,ARG,0,2021,Boulder
443,AUS,0,2021,Boulder
444,AUT,499.28,2021,Boulder
445,BEL,213.55,2021,Boulder
446,CAN,19.35,2021,Boulder
447,CHI,0,2021,Boulder
448,CHN,0,2021,Boulder
449,CZE,200,2021,Boulder
450,DEN,0.8,2021,Boulder
451,ECU,0,2021,Boulder
